GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimall,com.minimall.dto,LiveRoomResponse,72,0,0,0,14,0,2,0,2,0
minimall,com.minimall.dto,MemberBenefitsResponse,0,50,0,4,0,9,0,4,0,2
minimall,com.minimall.dto,LikeResponse,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,ShareResponse,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,DeductPointsRequest,12,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,OrderDTO.OrderItemDTO,38,0,0,0,11,0,11,0,11,0
minimall,com.minimall.dto,UserDTO,45,0,0,0,13,0,13,0,13,0
minimall,com.minimall.dto,CouponResponse,30,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,LiveGoodsResponse,52,0,0,0,11,0,2,0,2,0
minimall,com.minimall.dto,OrderDTO,73,0,0,0,21,0,21,0,21,0
minimall,com.minimall.dto,ShareRequest,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,LiveCommentResponse,42,0,0,0,9,0,2,0,2,0
minimall,com.minimall.dto,CouponRequest,24,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,PointTransactionResponse,43,0,0,0,9,0,2,0,2,0
minimall,com.minimall.dto,ProductDTO,52,0,0,0,15,0,15,0,15,0
minimall,com.minimall.dto,PointAccountResponse,33,0,0,0,7,0,2,0,2,0
minimall,com.minimall.exception,GlobalExceptionHandler,133,31,4,0,29,8,11,4,9,4
minimall,com.minimall.exception,OrderException,11,0,0,0,4,0,2,0,2,0
minimall,com.minimall.exception,PaymentException,11,0,0,0,4,0,2,0,2,0
minimall,com.minimall.exception,GlobalExceptionHandler.ErrorResponse,7,19,0,0,1,2,1,2,1,2
minimall,com.minimall.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
minimall,com.minimall.exception,ValidationException,11,0,0,0,4,0,2,0,2,0
minimall,com.minimall.exception,BusinessException,25,0,0,0,10,0,4,0,4,0
minimall,com.minimall.util,PemUtils,47,0,0,0,13,0,2,0,2,0
minimall,com.minimall.service,StatsService.OrdersTrendEntry,12,0,0,0,1,0,1,0,1,0
minimall,com.minimall.service,LiveService,194,0,2,0,43,0,12,0,11,0
minimall,com.minimall.service,AdminUserService,63,0,2,0,15,0,6,0,5,0
minimall,com.minimall.service,PointService,319,6,4,0,73,1,13,1,11,1
minimall,com.minimall.service,WeChatSubscribeService.TemplateData,6,0,0,0,1,0,1,0,1,0
minimall,com.minimall.service,StatsService,158,0,10,0,31,0,9,0,4,0
minimall,com.minimall.service,CouponService,241,0,14,0,58,0,19,0,12,0
minimall,com.minimall.service,UserService,70,0,0,0,14,0,8,0,8,0
minimall,com.minimall.service,WeChatSubscribeService,426,10,32,0,89,3,23,1,7,1
minimall,com.minimall.service,JwtService,75,79,0,0,21,27,5,6,5,6
minimall,com.minimall.service,ShareService,144,0,0,0,32,0,10,0,10,0
minimall,com.minimall.service,OrderService,5,226,3,7,1,49,4,12,1,10
minimall,com.minimall.service,StatsService.DashboardStats,18,0,0,0,1,0,1,0,1,0
minimall,com.minimall.service,MemberService,13,92,1,5,2,19,3,6,2,4
minimall,com.minimall.service,ProductService,82,45,0,0,18,11,7,6,7,6
minimall,com.minimall.service,PayService,166,96,11,3,41,23,10,5,3,5
minimall,com.minimall.service,CustomerServiceService,19,306,9,23,5,71,8,26,1,17
minimall,com.minimall,MinimallApplication,5,3,0,0,2,1,1,1,1,1
minimall,com.minimall.config,JwtAuthenticationFilter,46,42,10,6,8,13,8,3,0,3
minimall,com.minimall.config,MemberGradeInitializer,82,0,2,0,12,0,3,0,2,0
minimall,com.minimall.config,LiveWebSocketHandler.CommentMessage,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.config,OpenApiConfig,114,0,0,0,29,0,5,0,5,0
minimall,com.minimall.config,JwtAuthenticationFilter.UserPrincipal,0,9,0,0,0,1,0,1,0,1
minimall,com.minimall.config,WeChatSubscribeConfig,45,0,0,0,13,0,13,0,13,0
minimall,com.minimall.config,QueryPerformanceMonitor,73,0,2,0,15,0,4,0,3,0
minimall,com.minimall.config,MetricsConfig,111,0,0,0,31,0,8,0,8,0
minimall,com.minimall.config,SecurityUtils,2,38,2,8,1,9,2,6,0,3
minimall,com.minimall.config,SecurityConfig,160,0,0,0,23,0,6,0,6,0
minimall,com.minimall.config,WebSocketConfig,25,0,0,0,6,0,2,0,2,0
minimall,com.minimall.config,CaffeineCacheConfig,23,3,0,0,7,1,2,1,2,1
minimall,com.minimall.config,CustomerServiceConfig,0,25,0,0,0,7,0,5,0,5
minimall,com.minimall.config,WeChatPayConfig,109,0,0,0,30,0,21,0,21,0
minimall,com.minimall.config,LiveWebSocketHandler,154,0,16,0,38,0,15,0,7,0
minimall,com.minimall.model,Order.PayStatus,0,21,0,0,0,2,0,1,0,1
minimall,com.minimall.model,CustomerServiceMessage.MessageType,0,33,0,0,0,2,0,1,0,1
minimall,com.minimall.model,UserCoupon,49,6,0,0,15,2,14,1,14,1
minimall,com.minimall.model,MemberGrade,27,36,0,0,7,13,7,7,7,7
minimall,com.minimall.model,AdminUser,52,10,0,0,17,4,14,1,14,1
minimall,com.minimall.model,LiveRoom.LiveStatus,0,21,0,0,0,2,0,1,0,1
minimall,com.minimall.model,Coupon,77,6,0,0,23,2,22,1,22,1
minimall,com.minimall.model,CustomerServiceMessage.Status,0,27,0,0,0,2,0,1,0,1
minimall,com.minimall.model,Category,52,11,0,0,17,5,14,1,14,1
minimall,com.minimall.model,OrderItem,10,28,0,0,3,8,3,8,3,8
minimall,com.minimall.model,Product,15,62,0,0,6,20,3,16,3,16
minimall,com.minimall.model,UserSubscription,36,38,0,0,12,12,9,8,9,8
minimall,com.minimall.model,AdminUser.Role,0,15,0,0,0,2,0,1,0,1
minimall,com.minimall.model,LiveLike,28,3,0,0,9,1,8,1,8,1
minimall,com.minimall.model,Coupon.CouponType,0,21,0,0,0,2,0,1,0,1
minimall,com.minimall.model,ShareReward.RewardType,0,15,0,0,0,2,0,1,0,1
minimall,com.minimall.model,CustomerServiceMessage,16,109,0,0,6,36,5,24,5,24
minimall,com.minimall.model,User,23,52,0,0,8,15,7,12,7,12
minimall,com.minimall.model,PointTransaction.Type,0,15,0,0,0,2,0,1,0,1
minimall,com.minimall.model,LiveComment,49,3,0,0,15,1,14,1,14,1
minimall,com.minimall.model,PointAccount,52,12,0,0,17,4,14,1,14,1
minimall,com.minimall.model,User.Role,0,15,0,0,0,2,0,1,0,1
minimall,com.minimall.model,PointTransaction,56,3,0,0,17,1,16,1,16,1
minimall,com.minimall.model,LiveRoom,98,23,0,0,29,9,28,1,28,1
minimall,com.minimall.model,Order.Status,0,33,0,0,0,2,0,1,0,1
minimall,com.minimall.model,Order,20,74,0,0,8,21,5,18,5,18
minimall,com.minimall.model,LiveGoods,70,15,0,0,20,7,20,1,20,1
minimall,com.minimall.model,ShareReward,56,3,0,0,17,1,16,1,16,1
minimall,com.minimall.controller,ProductController,50,81,7,5,1,18,6,8,0,8
minimall,com.minimall.controller,PointController,113,0,2,0,25,0,10,0,9,0
minimall,com.minimall.controller,AdminAuthController,62,0,2,0,11,0,5,0,4,0
minimall,com.minimall.controller,CustomerServiceController,41,11,0,0,7,4,6,2,6,2
minimall,com.minimall.controller,MembershipController,49,0,0,0,12,0,3,0,3,0
minimall,com.minimall.controller,CouponController,71,0,0,0,12,0,8,0,8,0
minimall,com.minimall.controller,AuthController.RegisterRequest,0,15,0,0,0,1,0,1,0,1
minimall,com.minimall.controller,AdminAuthController.LoginRequest,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,AdminController,5,0,0,0,2,0,2,0,2,0
minimall,com.minimall.controller,ImageUploadController,236,0,24,0,54,0,15,0,3,0
minimall,com.minimall.controller,AdminOrderController,48,0,0,0,9,0,6,0,6,0
minimall,com.minimall.controller,CategoryController.CategoryRequest,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,AdminProductController,51,0,0,0,14,0,5,0,5,0
minimall,com.minimall.controller,CategoryController,160,0,10,0,31,0,14,0,9,0
minimall,com.minimall.controller,LiveController,55,0,0,0,10,0,7,0,7,0
minimall,com.minimall.controller,PayController,90,0,2,0,22,0,4,0,3,0
minimall,com.minimall.controller,OrderController.CreateOrderRequest,3,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,StatsController,17,0,0,0,5,0,3,0,3,0
minimall,com.minimall.controller,AuthController.LoginResponse,0,9,0,0,0,1,0,1,0,1
minimall,com.minimall.controller,ShareController,38,0,0,0,7,0,4,0,4,0
minimall,com.minimall.controller,AdminAuthController.LoginResponse,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,UserController,48,0,4,0,11,0,6,0,4,0
minimall,com.minimall.controller,AuthController.LoginRequest,0,6,0,0,0,1,0,1,0,1
minimall,com.minimall.controller,AuthController,6,91,4,6,2,19,4,4,0,3
minimall,com.minimall.controller,OrderController,133,0,12,0,26,0,13,0,7,0
minimall,com.minimall.controller,HealthController,0,21,0,0,0,5,0,2,0,2
